id,category,input,reference,prediction,cer,wer,bleu,exact_match,time_s
175,code_mixed,oya post eka share karala thiyenne,ඔයා post එක share කරලා තියෙන්නේ,ඔයා post එක share කරලා තියෙන්නේ,0.0,0.0,1.0,True,4.996
176,code_mixed,mama notification eka dakke na thama,මම notification එක දැක්කේ නෑ තාම,මම notification එක දැක්කේ ණ ථම,0.125,0.3333,0.6667,False,7.204
177,code_mixed,oya meeting invite eka accept kalaada,ඔයා meeting invite එක accept කළාද,ඔයා meeting invite එක accept කළාද,0.0,0.0,1.0,True,4.838
178,code_mixed,mama mage location eka share karannam,මම මගේ location එක share කරන්නම්,මම මගේ location එක share කරන්නම්,0.0,0.0,1.0,True,4.856
179,code_mixed,oyage internet connection eka check karanna,ඔයාගේ internet connection එක check කරන්න,ඔයාගේ internet connection එක check කරන්න,0.0,0.0,1.0,True,7.84
180,code_mixed,mama server eka restart kala dan,මම server එක restart කළා දැන්,මම server එක restart කලා දනේ,0.1034,0.3333,0.6667,False,5.159
181,code_mixed,oya update eka install karala thiyenne,ඔයා update එක install කරලා තියෙන්නේ,ඔයා update එක install කරලා තියෙන්නේ,0.0,0.0,1.0,True,5.184
182,code_mixed,mama message eka reply kala ada,මම message එක reply කළා අද,මම message එක reply කළා අදා,0.0385,0.1667,0.8333,False,4.471
183,code_mixed,oya file eka upload karala thiyenne,ඔයා file එක upload කරලා තියෙන්නේ,ඔයා file එක upload කරලා තියෙන්නේ,0.0,0.0,1.0,True,4.461
184,code_mixed,mama website eka search kala godak,මම website එක search කළා ගොඩක්,මම website එක search කළා ගොඩක්,0.0,0.0,1.0,True,3.875
185,code_mixed,oyage order eka confirm wela thiyenne,ඔයාගේ order එක confirm වෙලා තියෙන්නේ,ඔයාගෙ order එක confirm වේල තියෙන්නෙ,0.1111,0.5,0.5,False,5.302
186,code_mixed,mama notification eka clear kala dan,මම notification එක clear කළා දැන්,මම notification එක clear කළා දනේ,0.0606,0.1667,0.8333,False,6.961
187,code_mixed,oya user id eka check karanna,ඔයා user id එක check කරන්න,ඔයා උසෙර් ඉඩ් එක check කරන්න,0.3077,0.3333,0.6667,False,3.261
188,code_mixed,mama backup eka restore kala ada,මම backup එක restore කළා අද,මම backup එක restore කළා අදා,0.037,0.1667,0.8333,False,4.393
189,code_mixed,oya process eka start karala thiyenne,ඔයා process එක start කරලා තියෙන්නේ,ඔය process එක start කරලා තියෙන්නේ,0.0294,0.1667,0.8333,False,5.75
190,code_mixed,mama account settings change kala tika,මම account settings change කළා ටික,මම account settings change කළ ඨික,0.0588,0.3333,0.6667,False,6.41
191,code_mixed,oya system error eka fix kalaada,ඔයා system error එක fix කළාද,ඔයා system error එක fix කලාද,0.0357,0.1667,0.8333,False,5.465
192,code_mixed,mama security code eka enter kala,මම security code එක enter කළා,මම security code එක enter කළා,0.0,0.0,1.0,True,5.19
193,code_mixed,oya mobile app eka update karanna,ඔයා mobile app එක update කරන්න,ඔයා mobile app එක update කරන්න,0.0,0.0,1.0,True,3.655
194,code_mixed,mama login details share kala ada,මම login details share කළා අද,මම login details share කළා අදා,0.0345,0.1667,0.8333,False,4.53
195,code_mixed,oya verification email eka check karanna,ඔයා verification email එක check කරන්න,ඔයා verification email එක check කරන්න,0.0,0.0,1.0,True,7.17
196,code_mixed,mama feedback form eka submit kala,මම feedback form එක submit කළා,මම feedback form එක submit කළා,0.0,0.0,1.0,True,4.815
197,code_mixed,oya project goal eka achieve kalaada,ඔයා project goal එක achieve කළාද,ඔයා project goal එක achieve කලාද,0.0312,0.1667,0.8333,False,5.234
198,code_mixed,mama link eka copy karala thibba,මම link එක copy කරලා තිබ්බා,මම ලිනක් එක කොප්ය කරල තිබ්බ,0.4444,0.6667,0.3333,False,3.512
199,code_mixed,oya task eka complete karala thiyenne,ඔයා task එක complete කරලා තියෙන්නේ,ඔයා task එක complete කරලා තියෙන්නේ,0.0,0.0,1.0,True,6.071
200,code_mixed,mama data entry kala iwaraik,මම data entry කළා ඉවරයි,මම දාට entry කලා ඉවරඉක්,0.3478,0.6,0.4,False,3.69
201,code_mixed,oya screen share eka enable karanna,ඔයා screen share එක enable කරන්න,ඕයා screen share එක enable කරන්න,0.0312,0.1667,0.8333,False,5.277
202,code_mixed,mama call eka disconnect kala dan,මම call එක disconnect කළා දැන්,මම චල්ලා එක disconnect කළා දනේ,0.2333,0.3333,0.6667,False,8.03
203,code_mixed,oya message eka delete karala thiyenne,ඔයා message එක delete කරලා තියෙන්නේ,ඔයා message එක delete කරලා තියෙන්නේ,0.0,0.0,1.0,True,4.851
204,code_mixed,mama audio quality eka check kala,මම audio quality එක check කළා,මම audio quality එක check කළා,0.0,0.0,1.0,True,3.974
205,code_mixed,oya output eka verify karala thiyenne,ඔයා output එක verify කරලා තියෙන්නේ,ඔයා output එක verify කරලා තියෙන්නේ,0.0,0.0,1.0,True,4.968
206,code_mixed,mama input data eka validate kala,මම input data එක validate කළා,මම input data එක validate කළා,0.0,0.0,1.0,True,4.249
207,code_mixed,oya code eka review karala thiyenne,ඔයා code එක review කරලා තියෙන්නේ,ඔයා කොඩෙ ඒක review කරල තියෙන්නෙ,0.2188,0.6667,0.3333,False,4.656
208,code_mixed,mama version control eka check kala,මම version control එක check කළා,මම version control එක check කළා,0.0,0.0,1.0,True,6.159
209,code_mixed,oya merge request eka approve kalaada,ඔයා merge request එක approve කළාද,ඔයා merge request එක approve කලාද,0.0303,0.1667,0.8333,False,5.292
210,code_mixed,mama documentation eka update kala ada,මම documentation එක update කළා අද,මම documentation එක update කළා අදා,0.0303,0.1667,0.8333,False,8.265
211,code_mixed,oya bug fix eka test kalaada,ඔයා bug fix එක test කළාද,ඔයා බූගේ ෆිස් එක ටේස්ට් කලාද,0.625,0.6667,0.3333,False,3.829
212,code_mixed,mama deployment eka success kala dan,මම deployment එක success කළා දැන්,මම deployment එක success කළා දනේ,0.0606,0.1667,0.8333,False,7.136
213,code_mixed,oya release note eka kiyawala thiyenne,ඔයා release note එක කියවලා තියෙන්නේ,ඔයා release note එක කියවලා තියෙන්නේ,0.0,0.0,1.0,True,4.499
214,code_mixed,mama cloud storage eka use kala,මම cloud storage එක use කළා,මම cloud storage එක use කලා,0.037,0.1667,0.8333,False,4.526
215,code_mixed,oya password reset eka request kalaada,ඔයා password reset එක request කළාද,ඔයා password reset එක request කලාද,0.0294,0.1667,0.8333,False,5.631
216,code_mixed,mama profile info eka edit kala,මම profile info එක edit කළා,මම profile info එක edit කළා,0.0,0.0,1.0,True,4.689
217,code_mixed,oya privacy settings update karala thiyenne,ඔයා privacy settings update කරලා තියෙන්නේ,ඔයා privacy settings update කරලා තියෙන්නේ,0.0,0.0,1.0,True,6.654
218,code_mixed,mama contact list eka sync kala,මම contact list එක sync කළා,මම contact list එක සයෙන්ච් කළා,0.2593,0.1667,0.8333,False,5.194
219,code_mixed,oya battery level eka check karanna,ඔයා battery level එක check කරන්න,ඕය battery level එක check කරන්න,0.0625,0.1667,0.8333,False,4.225
220,code_mixed,mama screen brightness eka adu kala,මම screen brightness එක අඩු කළා,මම screen brightness එක අඩු කළා,0.0,0.0,1.0,True,7.176
221,code_mixed,oya storage space eka clear karanna,ඔයා storage space එක clear කරන්න,ඔය storage space එක clear කරන්න,0.0312,0.1667,0.8333,False,4.765
222,code_mixed,mama software update eka download kala,මම software update එක download කළා,මම software update එක download කළා,0.0,0.0,1.0,True,5.239
223,code_mixed,oya network speed eka check kalaada,ඔයා network speed එක check කළාද,ඔයා network speed එක check කලාද,0.0323,0.1667,0.8333,False,5.756
224,code_mixed,mama wifi connection eka fix kala,මම wifi connection එක fix කළා,මම wifi connection එක ෆික් කළා,0.1379,0.1667,0.8333,False,7.812
225,code_mixed,oya signal strength eka check karanna,ඔයා signal strength එක check කරන්න,ඕය signal strength එක check කරන්න,0.0588,0.1667,0.8333,False,7.311
226,code_mixed,mama app permissions change kala ada,මම app permissions change කළා අද,මම අපප permissions change කළ අදා,0.1562,0.5,0.5,False,8.498
227,code_mixed,oya cache memory eka clear karanna,ඔයා cache memory එක clear කරන්න,ඔයා cache memory එක clear කරන්න,0.0,0.0,1.0,True,3.996
228,code_mixed,mama database eka optimize kala dan,මම database එක optimize කළා දැන්,මම database එක optimize කළා දනේ,0.0625,0.1667,0.8333,False,5.12
229,code_mixed,oya query eka execute karala thiyenne,ඔයා query එක execute කරලා තියෙන්නේ,ඔයා query එක execute කරලා තියෙන්නේ,0.0,0.0,1.0,True,4.544
230,code_mixed,mama search result eka filter kala,මම search result එක filter කළා,මම search result එක filter කළා,0.0,0.0,1.0,True,4.609
231,code_mixed,oya sorting order eka change karanna,ඔයා sorting order එක change කරන්න,ඔයා sorting order එක change කරන්න,0.0,0.0,1.0,True,5.561
232,code_mixed,mama list eka refresh kala ada,මම list එක refresh කළා අද,මම ලිසට් එක refresh කළා අදා,0.24,0.3333,0.6667,False,5.371
233,code_mixed,oya item eka select karala thiyenne,ඔයා item එක select කරලා තියෙන්නේ,ඔය item එක select කරලා තියෙන්නේ,0.0312,0.1667,0.8333,False,4.679
234,code_mixed,mama chart eka generate kala dan,මම chart එක generate කළා දැන්,මම chart එක generate කලා දනේ,0.1034,0.3333,0.6667,False,4.166
235,code_mixed,oya report eka export karala thiyenne,ඔයා report එක export කරලා තියෙන්නේ,ඔය report එක export කරලා තියෙන්නේ,0.0294,0.1667,0.8333,False,5.301
236,code_mixed,mama file format eka change kala,මම file format එක change කළා,මම ෆිලේ format එක change කලා,0.1786,0.3333,0.6667,False,4.595
237,code_mixed,oya image resolution eka check karanna,ඔයා image resolution එක check කරන්න,ඕය image resolution එක check කරන්න,0.0571,0.1667,0.8333,False,6.95
238,code_mixed,mama video duration eka adu kala,මම video duration එක අඩු කළා,මම video duration එක අඩු කළා,0.0,0.0,1.0,True,5.191
239,code_mixed,oya thumbnail eka create karala thiyenne,ඔයා thumbnail එක create කරලා තියෙන්නේ,ඔයා thumbnail එක create කරලා තියෙන්නේ,0.0,0.0,1.0,True,4.655
240,code_mixed,mama subtitle file eka upload kala,මම subtitle file එක upload කළා,මම subtitle file එක upload කළා,0.0,0.0,1.0,True,5.253
241,code_mixed,oya audio track eka change karanna,ඔයා audio track එක change කරන්න,ඔයා audio track එක change කරන්න,0.0,0.0,1.0,True,3.687
242,code_mixed,mama volume level eka wadi kala,මම volume level එක වැඩි කළා,මම volume level එක වැඩි කළා,0.0,0.0,1.0,True,3.741
243,code_mixed,oya mute button eka press karanna,ඔයා mute button එක press කරන්න,ඔයා මූටේ button එක press කරන්න,0.1333,0.1667,0.8333,False,4.505
244,code_mixed,mama playback speed eka change kala,මම playback speed එක change කළා,මම playback speed එක change කළා,0.0,0.0,1.0,True,5.742
245,code_mixed,oya playlist eka create karala thiyenne,ඔයා playlist එක create කරලා තියෙන්නේ,ඔයා playlist එක create කරලා තියෙන්නේ,0.0,0.0,1.0,True,5.325
246,code_mixed,mama album art eka change kala,මම album art එක change කළා,මම album අරටේ එක change කළා,0.1538,0.1667,0.8333,False,3.875
247,code_mixed,oya artist name eka check karanna,ඔයා artist name එක check කරන්න,ඔයා artist name එක check කරන්න,0.0,0.0,1.0,True,4.378
248,code_mixed,mama song title eka edit kala,මම song title එක edit කළා,මම සෝනාගේ title එක edit කළා,0.24,0.1667,0.8333,False,3.591
249,code_mixed,oya lyrics eka search karala thiyenne,ඔයා lyrics එක search කරලා තියෙන්නේ,ඔයා lyrics එක search කරලා තියෙන්නේ,0.0,0.0,1.0,True,4.846
250,code_mixed,mama app store eka check kala,මම app store එක check කළා,මම app store එක check කළා,0.0,0.0,1.0,True,3.472
251,code_mixed,oya download link eka click karanna,ඔයා download link එක click කරන්න,ඕය download link එක click කරන්න,0.0625,0.1667,0.8333,False,4.468
252,code_mixed,mama installation process eka follow kala,මම installation process එක follow කළා,මම installation process එක follow කළා,0.0,0.0,1.0,True,7.703
253,code_mixed,oya setup wizard eka complete karanna,ඔයා setup wizard එක complete කරන්න,ඕය setup wizard එක complete කරන්න,0.0588,0.1667,0.8333,False,5.315
254,code_mixed,mama activation key eka enter kala,මම activation key එක enter කළා,මම activation key එක enter කළා,0.0,0.0,1.0,True,6.447
255,code_mixed,oya license agreement eka accept karanna,ඔයා license agreement එක accept කරන්න,ඕය license agreement එක accept කරන්න,0.0541,0.1667,0.8333,False,5.924
256,code_mixed,mama terms and conditions kiyewwa,මම terms and conditions කියෙව්වා,මම terms and conditions කියෙව්වා,0.0,0.0,1.0,True,5.834
257,code_mixed,oya user manual eka check karanna,ඔයා user manual එක check කරන්න,ඔයා උසෙර් manual එක check කරන්න,0.1667,0.1667,0.8333,False,3.403
258,code_mixed,mama help menu eka search kala,මම help menu එක search කළා,මම හැලපේ මේනු එක search කළා,0.3462,0.3333,0.6667,False,4.026
259,code_mixed,oya customer support eka contact karanna,ඔයා customer support එක contact කරන්න,ඕය customer support එක contact කරන්න,0.0541,0.1667,0.8333,False,5.409
260,code_mixed,mama support ticket eka open kala,මම support ticket එක open කළා,මම support ticket එක ඔපෙන් කලා,0.2069,0.3333,0.6667,False,4.805
261,code_mixed,oya issue report eka submit karanna,ඔයා issue report එක submit කරන්න,ඕය issue report එක submit කරන්න,0.0625,0.1667,0.8333,False,4.37
262,code_mixed,mama status update eka check kala,මම status update එක check කළා,මම status update එක check කළා,0.0,0.0,1.0,True,3.902
263,code_mixed,oya resolution details eka check karanna,ඔයා resolution details එක check කරන්න,ඕය resolution details එක check කරන්න,0.0541,0.1667,0.8333,False,6.35
264,code_mixed,mama case number eka note kala,මම case number එක note කළා,මම කසේ number එක නොටේ කළා,0.3077,0.3333,0.6667,False,2.91
265,code_mixed,oya service request eka cancel karanna,ඔයා service request එක cancel කරන්න,ඔයා service request එක cancel කරන්න,0.0,0.0,1.0,True,4.863
266,code_mixed,mama feedback score eka check kala,මම feedback score එක check කළා,මම feedback score එක check කළා,0.0,0.0,1.0,True,4.331
267,code_mixed,oya rating eka review karala thiyenne,ඔයා rating එක review කරලා තියෙන්නේ,ඔයා rating එක review කරලා තියෙන්නේ,0.0,0.0,1.0,True,4.368
268,code_mixed,mama comment section eka check kala,මම comment section එක check කළා,මම comment section එක check කළා,0.0,0.0,1.0,True,4.775
269,code_mixed,oya forum post eka read karanna,ඔයා forum post එක read කරන්න,ඔය forum post එක read කරන්න,0.0357,0.1667,0.8333,False,3.461
270,code_mixed,mama community guideline eka follow kala,මම community guideline එක follow කළා,මම community guideline එක follow කලා,0.0278,0.1667,0.8333,False,5.857
271,code_mixed,oya blog post eka publish kalaada,ඔයා blog post එක publish කළාද,ඔයා බොලෝගේ පොසට් එක publish කලාද,0.4138,0.5,0.5,False,3.994
272,code_mixed,mama article eka edit karala iwarai,මම article එක edit කරලා ඉවරයි,මම article එක edit කරලා ඉවරයි,0.0,0.0,1.0,True,4.867
273,code_mixed,oya content eka check karala thiyenne,ඔයා content එක check කරලා තියෙන්නේ,ඔයා content එක check කරලා තියෙන්නේ,0.0,0.0,1.0,True,5.372
274,code_mixed,mama keyword eka search kala godak,මම keyword එක search කළා ගොඩක්,මම keyword එක search කළා ගොඩක්,0.0,0.0,1.0,True,5.016
275,code_mixed,oya tag eka add karala thiyenne,ඔයා tag එක add කරලා තියෙන්නේ,ඔය ටගේ එක අදද කරලා තියෙන්නේ,0.25,0.5,0.5,False,4.519
276,code_mixed,mama category eka change kala dan,මම category එක change කළා දැන්,මම category එක change කළා දනේ,0.0667,0.1667,0.8333,False,4.334
277,code_mixed,oya author name eka check karanna,ඔයා author name එක check කරන්න,ඕය author name එක check කරන්න,0.0667,0.1667,0.8333,False,2.958
278,code_mixed,mama publish date eka check kala,මම publish date එක check කළා,මම publish දාටේ ඒක check කලා,0.2143,0.5,0.5,False,3.92
279,code_mixed,oya link status eka verify karanna,ඔයා link status එක verify කරන්න,ඔයා ලිනක status එක verify කරන්න,0.129,0.1667,0.8333,False,4.452
280,formal,mema pahasukam siyalu denatama podu we,මෙම පහසුකම් සියලු දෙනාටම පොදු වේ,මෙම පහසුකමේ සියලු දෑනටම පොදු වේ,0.0938,0.3333,0.6667,False,4.026
281,formal,karunakarala oba ge namaya sadahan karanna,කරුණාකරලා ඔබගේ නාමය සඳහන් කරන්න,කරුෘණකරල ඔබා ගේ නමය සදහන් කරන්න,0.2258,1.0,0.2,False,4.977
282,formal,oba ge upadeshaya apata godak wadagath,ඔබගේ උපදේශය අපට ගොඩක් වැදගත්,ඔබ ගේ උපදේශය අපට ගොඩක් වැදගත්,0.0357,0.4,0.8,False,4.05
283,formal,mema nivedanaya avadanayata ganna,මෙම නිවේදනය අවධානයට ගන්න,මෙම නිවේදනය අවදානයට ගන්න,0.0417,0.25,0.75,False,2.835
284,formal,adyaapana depaarthamenthuwa mema thiranaya gaththa,අධ්‍යාපන දෙපාර්තමේන්තුව මෙම තීරණය ගත්තා,අධ්‍යාපන දෙපාර්තමේන්තුව මේම තිරණයා ගත්ත,0.1026,0.6,0.4,False,6.41
285,formal,mema wadashatahana sadaha obaata aradhana karamu,මෙම වැඩසටහන සඳහා ඔබට ආරාධනා කරමු,මෙම වාදශටහණ සදහා ඔබඅට ආරධනා කරමු,0.2188,0.6667,0.3333,False,4.226
286,formal,oba ge upakaaraya sadaha sthuthiwantha wemu,ඔබගේ උපකාරය සඳහා ස්තූතිවන්ත වෙමු,ඔබ ගේ උපකාරය සදහා ස්තුතිවන්ත වේමු,0.125,1.0,0.2,False,5.716
287,formal,rajaye nivedanaya anuwa kriya karanna,රජයේ නිවේදනය අනුව ක්‍රියා කරන්න,රාජයේ නිවෙදනය අනුව කාරිය කරනන,0.1935,0.8,0.2,False,3.42
288,formal,oba ge arayaachanaya salaka balanu labe,ඔබගේ අයදුම්පත සලකා බලනු ලැබේ,ඔබ ගේ ආර්යාචනය සලකා බලනු ලබෙ,0.3929,0.8,0.4,False,4.53
289,formal,mema karuna piliyela karana lada deyak,මෙම කරුණ පිළියෙළ කරන ලද දෙයක්,මෙම කාරුණ පිළියැල කරන ලද දෑයක්,0.1379,0.5,0.5,False,3.976
290,formal,mema prashne gana pashchath vimarshanaya karanna,මෙම ප්‍රශ්නය ගැන පශ්චාත් විමර්ශනය කරන්න,මෙම ප්‍රශ්නේ ඥ පශචත් විමර්ෂණය කරන්න,0.2051,0.6667,0.3333,False,5.056
291,formal,oba ge sewaya apata agaya kala hakiya,ඔබගේ සේවය අපට අගය කළ හැකිය,ඔබ ගේ සේවය අපට අගය කළ හැකිය,0.0385,0.3333,0.8333,False,3.617
292,formal,vishwa vidyaalaye palaveni wasare shishyayan,විශ්ව විද්‍යාලයේ පළවෙනි වසරේ ශිෂ්‍යයන්,විශ්ව විද්‍යාලයේ පලවැනි වසරේ ශිෂ්‍යයන්,0.0526,0.2,0.8,False,5.351
293,formal,parishlana nivedanaya balanna karunakarala,පරිශීලන නිවේදනය බලන්න කරුණාකරලා,පරිශීලන නිවෙදනය බලන්නා කරුෘණකරල,0.1613,0.75,0.25,False,3.733
294,formal,mema kriyavaliya hariyata kriyathmaka karanna,මෙම ක්‍රියාවලිය හරියට ක්‍රියාත්මක කරන්න,මෙම ක්‍රියාවලිය හරියට ක්‍රියත්මක කරන්න,0.0256,0.2,0.8,False,5.18
295,formal,adala lekana pirihenu labe,අදාළ ලේඛන පිරිනමනු ලැබේ,අදල ලේකන පිරිහෙනු ලබෙ,0.3043,1.0,0.0,False,3.367
296,formal,oba ge sahayogaya apata athyawashya we,ඔබගේ සහයෝගය අපට අත්‍යවශ්‍ය වේ,ඔබ ගේ සහයෝගය අපට අත්‍යාවශය වේ,0.1379,0.6,0.6,False,5.304
297,formal,mema sthanaye rakshawa thahawuru karanna,මෙම ස්ථානයේ රක්ෂාව තහවුරු කරන්න,මෙම සථානයෙ රාක්‍ෂව තහවුරු කරන්න,0.1613,0.4,0.6,False,3.449
298,formal,paurshika thorathuru rakshitha we,පෞද්ගලික තොරතුරු රක්ෂිත වේ,පෞරෂික තොරතුරු රක‍ෂිත වේ,0.1923,0.5,0.5,False,2.873
299,formal,mema kramaya anugamanaya karanna balanna,මෙම ක්‍රමය අනුගමනය කරන්න බලන්න,මෙම ක්රමය අනුගමනය කරන්න බලන්න,0.0333,0.2,0.8,False,3.936
300,formal,oba ge adahas idiripath karanna,ඔබගේ අදහස් ඉදිරිපත් කරන්න,ඔබ ගේ අදහස ඉදිරිපත් කරන්න,0.08,0.75,0.5,False,3.91
301,formal,mema pahasukama pavichchi karanna puluwan,මෙම පහසුකම පාවිච්චි කරන්න පුළුවන්,මේම පහසුකාම පාවිච්චි කරන්න පුළුවන්,0.0606,0.4,0.6,False,3.934
302,formal,shishya kalyana sangamaya mema wada karai,ශිෂ්‍ය සුබසාධන සංගමය මෙම වැඩ කරයි,ශිෂය කළ්‍යාන සංගමාය මේම වාද කරයි,0.3636,0.8333,0.1667,False,4.034
303,formal,oba ge upatha saha thorathuru sadahan karanna,ඔබගේ උපත සහ තොරතුරු සඳහන් කරන්න,ඔබ ගේ උපාත සහ තොරතුරු සදහන් කරන්න,0.0968,0.6667,0.5,False,4.721
304,formal,rajaye upadeshaya anuwa kriya karanna one,රජයේ උපදේශය අනුව ක්‍රියා කරන්න ඕනේ,රාජයේ උපදේශය අනුවා කාරිය කරන්න ඕනැ,0.1765,0.6667,0.3333,False,4.314
305,formal,adala niladhariyan wetha thorathuru ewanna,අදාළ නිලධාරීන් වෙත තොරතුරු එවන්න,අදාළ නිලධාරියන් වෙත තොරතුරු එවාන්න,0.0938,0.4,0.6,False,5.089
306,formal,mema kramaya sadaha anumathiya labuna,මෙම ක්‍රමය සඳහා අනුමතිය ලැබුණා,මෙම කාරමය සදහා අනුමාතිය ලබුන,0.2333,0.8,0.2,False,3.868
307,formal,oba ge gatalu apata danyapat karanna,ඔබගේ ගැටලු අපට දන්වා එවන්න,ඔබ ගේ ගාටලු ආපට දාන්‍යපට කරන්න,0.3846,1.2,0.0,False,4.634
308,formal,mema parikshana prathipala keti kalayakin labe,මෙම පරීක්ෂණ ප්‍රතිඵල කෙටි කලයකින් ලැබේ,මෙම පරික‍ෂණ ප්‍රතිඵල කෙටි කලයකින් ලබේ,0.0789,0.3333,0.6667,False,4.726
309,formal,visheshitha karuna sadaha avadanaya yomu karanna,විශේෂිත කරුණු සඳහා අවධානය යොමු කරන්න,විශේෂිතා කාරුණ සදහා අවදානය යොමු කරන්න,0.1389,0.6667,0.3333,False,4.626
310,formal,oba ge sahayogaya apata godak wadagath we,ඔබගේ සහයෝගය අපට ගොඩක් වැදගත් වේ,ඔබ ගේ සහයෝගය අපට ගොඩක් වැදගත් වේ,0.0323,0.3333,0.8333,False,4.738
311,formal,mema karyaya sapura iwara kala yuthuya,මෙම කාර්යය සපුරා ඉවර කළ යුතුය,මෙම කාර්යය සපුරා ඉවරා කළ යුතුය,0.0345,0.1667,0.8333,False,3.553
312,formal,oba ge lekana keti kalayakin labe,ඔබගේ ලේඛන කෙටි කලයකින් ලැබේ,ඔබා ගේ ලේකන කෙටි කාලයකින් ලබෙ,0.2222,1.0,0.2,False,4.614
313,formal,mema sewaya sadaha ayabeerak aya nokere,මෙම සේවය සඳහා අය කිරීමක් අය නොකෙරේ,මෙම සේවාය සදහා අයබීරක අය නොකෙරී,0.2647,0.7143,0.2857,False,4.14
314,formal,oba ge upadeshaya anuwa api kriya karamu,ඔබගේ උපදේශය අනුව අපි ක්‍රියා කරමු,ඔබ ගේ උපදේශය අනුව අපි කාරිය කරමු,0.1212,0.5,0.6667,False,4.85
315,formal,mema thorathuru rahasya lesa thaba ganna,මෙම තොරතුරු රහස්‍ය ලෙස තබා ගන්න,මෙම තොරතුරු රහස්ය ලෙස තබා ගන්න,0.0323,0.1667,0.8333,False,4.072
316,formal,oba ge parashna apata danyapat karanna balanna,ඔබගේ ප්‍රශ්න අපට දන්වා එවන්න බලන්න,ඔබ ගේ පරශන ආපට දාන්‍යපට කරන්න බලන්න,0.3529,1.0,0.1667,False,5.301
317,formal,mema kramavedaya hariyata kriyathmaka karanna,මෙම ක්‍රමවේදය හරියට ක්‍රියාත්මක කරන්න,මේම ක්රමවේදය හරියට ක්‍රියත්මක කරන්න,0.0811,0.6,0.4,False,4.825
318,formal,oba ge sadaha vishesha sthuthiya pudakaramu,ඔබගේ සඳහා විශේෂ ස්තූතිය පුදකරමු,ඔබ ගේ සදහා විශේෂ ස්තූතිය පුදකරාමු,0.0968,0.8,0.4,False,4.577
319,formal,mema nivedanaya balapathmaka wanne heta sita,මෙම නිවේදනය බලපෑමක වන්නේ හෙට සිට,මෙම නිවේදනය බලාපාත්මක වන්නේ හෙට සිට,0.125,0.1667,0.8333,False,5.093
320,formal,oba ge arayaachanaya thira karala iwarai,ඔබගේ අයදුම්පත තීරණය කරලා ඉවරයි,ඔබ ගේ ආර්යාචනය ථිර කරලා ඉවරයි,0.4333,0.8,0.4,False,4.658
321,formal,mema karyalaya pradhaniya visin anumatha kala,මෙම කාර්යාල ප්‍රධානියා විසින් අනුමත කළා,මෙම කර්යාලය ප්‍රධනිය විසින් අනුමාත කළ,0.1538,0.6667,0.3333,False,5.166
322,formal,oba ge thorathuru rahasyathawa thahawuru karanu labe,ඔබගේ තොරතුරු රහස්‍යභාවය තහවුරු කරනු ලැබේ,ඔබ ගේ තොරතුරු රහස්‍යතව තහවුරු කරනු ලබෙ,0.15,0.6667,0.5,False,5.881
323,formal,mema wadashatahana udashanna kaledi thiyeyi,මෙම වැඩසටහන උදෑසන කාලයේදී තියෙයි,මේම වාදශටහණ උදාශනන කලෙදි තියේයි,0.4062,1.0,0.0,False,3.586
324,formal,oba ge sabaawaya apata loku shakthiyak,ඔබගේ සහභාගීත්වය අපට ලොකු ශක්තියක්,ඔබ ගේ සබයා අපට ලොකු ශක්තියක්,0.2727,0.6,0.6,False,4.688
325,formal,mema lekanaya keti kalayakin labe,මෙම ලේඛනය කෙටි කලයකින් ලැබේ,මෙම ලේකනය කෙටි කාලයකින් ලබෙ,0.1481,0.6,0.4,False,4.001
326,formal,oba ge adahas apata sadarayen piliyanamu,ඔබගේ අදහස් අපට සාදරයෙන් පිළිගනිමු,ඔබ ගේ අදහස අපට සදරායෙන් පිළියණමු,0.2121,1.0,0.2,False,5.25
327,formal,mema kriyawaliya sadaha oba ge sahayogaya one,මෙම ක්‍රියාවලිය සඳහා ඔබගේ සහයෝගය ඕනේ,මෙම ක්‍රියාවලිය සදහා ඔබ ගේ සහයෝගය ඕනේ,0.0556,0.5,0.6667,False,7.434
328,formal,oba ge karyaya sapura iwara kala yuthuya,ඔබගේ කාර්යය සපුරා ඉවර කළ යුතුය,ඔබ ගේ කාර්යය සපුරා ඉවරා කළ යුතුය,0.0667,0.5,0.6667,False,4.23
329,formal,mema thorathuru sadahan karanna karunakarala,මෙම තොරතුරු සඳහන් කරන්න කරුණාකරලා,මේම තොරතුරු සදහන් කරන්න කරුෘණකරලා,0.1212,0.6,0.4,False,4.329
330,formal,oba ge sahayogaya apata nithara labuna,ඔබගේ සහයෝගය අපට නිතර ලැබුණා,ඔබ ගේ සහයෝගය අපට නිතර ලැබුණ,0.0741,0.6,0.6,False,4.179
331,formal,mema prashne gana vishesha vimarshanayak karamu,මෙම ප්‍රශ්නය ගැන විශේෂ විමර්ශනයක් කරමු,මෙම ප්‍රශ්නේ ගන විශේෂ විමර්ශනයක් කරමු,0.0526,0.3333,0.6667,False,5.624
332,formal,oba ge sewaya apata sadahayen agaya karamu,ඔබගේ සේවය අපට සාදරයෙන් අගය කරමු,ඔබ ගේ සේවය අපට සදහයෙන් අගය කරමු,0.0968,0.5,0.6667,False,5.256
